text	label
5. can regularly rinsing your nose with saline help prevent infection with the new coronavirus? 	0
4. can eating garlic help prevent infection with the new coronavirus? covid19malaysia 	0
6. do vaccines against pneumonia protect you against the new coronavirus? 	0
7. can spraying alcohol or chlorine all over your body kill the new coronavirus? chamber 	0
8. how effective are thermal scanners in detecting people infected with the new coronavirus? 	0
9. can an ultraviolet disinfection lamp kill the new coronavirus? 	0
10. are hand dryers effective in killing the new coronavirus? 	0
11. the new coronavirus cannot be transmitted through mosquito bites. 	0
12. taking a hot bath does not prevent the new coronavirus disease 	0
13. cold weather and snow cannot kill the new coronavirus. 	0
14. covid-19 virus can be transmitted in areas with hot and humid climates 	0
15. drinking alcohol does not protect you against covid-19 and can be dangerous 	0
16. being able to hold your breath for 10 seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease (covid-19) or any other lung disease. 	0
17. you can recover from the coronavirus disease (covid-19). catching the new coronavirus does not mean you will have it for life. 	0
18. exposing yourself to the sun or to temperatures higher than 25c degrees does not prevent the coronavirus disease (covid-19) 	0
19. 5g mobile networks do not spread covid-19 	0
french police chief killed himself after charliehebdo attack  	1
devastating. rt “: french police chief killed himself after charliehebdo attack  	1
_gadecowboy . nothing to see here. move along.	1
  it stinks !!! these whole affaire!!!	1
 and tasked with investigating charlie hebdo shooting. but 'obviously' just a strange coincidence. not like he discovered anything	1
fwiw, his 2nd in command comitted suicide in 2013, &amp; he found the body. so, there's that. :p  	1
"ohh boy,here v go pakistanis already calling it false flag by eivil jewsmt""@_eretzyisrael::charliehebdo "	1
“: french police chief killed himself after charliehebdo attack   😳 wtf?	1
 why?	1
  yeh sure he did...	1
 _rants why are you reporting this three days after it happened?	1
,only those cartoonists are responsible, those were sent to hell,by humiliating norms of islam and blasphemy of pbuh of islam.	1
  so horrible.	1
  they killed him how can he kill himself? was shot in the forehead! so taht he doesnt get who's behind it	1
  what ya wanna bet he was killed??????????	1
 _gadecowboy took it kinda personal i guess, sad	1
  don't worry...it's all another weird coincidence. no conspiracy here.	1
  such a sad loss 😔may he now rip	1
 how very sad.	1
  the trauma he must have faced. very sad.	1
“: french police chief killed himself after charliehebdo attack   rip. terrible!	1
 oh no... 	1
 we will be very satisfied if nawazsharif resigns. here they hide the reports which blames them.	1
 horrible!!! needless. did dubya kill himself after 9/11 or just go brain-dead...	1
coronavirus disease (covid-19) advice for the public:✳️ should i wear a mask to protect myself?✳️ how to put on, use, take off and dispose of a mask?✳️ when and how to use masks? 	0
infection control for suspected or confirmed covid-19 cases ✳️ who recommendations:✳️ cdc recommendations	0
🔘 personal protective equipment (ppe)🔘 n95 respirators and surgical masks (face masks)🔘 surgical mask vs n95 respirator 	0
"ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly 3"" shooters. "	0
  i hope this isn't just a prelude to a bigger attack.	0
 killers go berserk when cornered.  henceforth, no lapses in security should be there.	0
_nabeel hahaha, you said far more than you think	0
  terrorists in ottawa	0
" when canadians of all people start shooting, well, ""c'est la fin du monde, non?"""	0
if the primary focus of a government isn't to alleviate suffering/death and promote happiness/wellbeing for its citizens, why do we need it to begin with?	0
10. are hand dryers effective in killing the new coronavirus? 	0
15. drinking alcohol does not protect you against covid-19 and can be dangerous 	0
16. being able to hold your breath for 10 seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease (covid-19) or any other lung disease. 	0
17. you can recover from the coronavirus disease (covid-19). catching the new coronavirus does not mean you will have it for life. 	0
18. exposing yourself to the sun or to temperatures higher than 25c degrees does not prevent the coronavirus disease (covid-19) 	0
19. 5g mobile networks do not spread covid-19 	0
does the new coronavirus affect older people, or are younger people also susceptible? covid_19 health 	0
do vaccines against pneumonia protect you against the new coronavirus? covid_19 corona  	0
are there any specific medicines to prevent or treat the new coronavirus? covid_19 coronavirus 	0
 _mongolia _kasai     _japan    _india     _who    _mofa q: are antibiotics effective in preventing and treating the new coronavirus (2019-ncov)?a: no, antibiotics do not work against viruses, only bacteria.the 2019-nc0v is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. 	0
  _mongolia _kasai     _japan    _india     _who    _mofa q: chinese doctors said, we will use hiv drug to treat this virus firstly ! does this useful ? or just trial and error in chinese treatment methodology ?	0
a memorial for mh17 victims forms near the netherlands embassy in kiev:  (roman pilipey/epa) 	1
 rip	1
 putin thinks he was the target, and the ukies shot down the wrong plane. msnbc   ge $ge	1
_stark путин убыл её мозг?	1
  u folks didn't deserve this level of tragedy.i'd like 2 offer my condolences to families of the victims	1
 really sad tragic loss	1
prime minister tony abbott's statement on the sydneysiege. updates:  	0
 prime ministers should not have to comment on everything.	0
 	0
“: prime minister tony abbott's statement on the sydneysiege. updates:  	0
plumber suing car dealership for $1m after truck he traded in ends up in hands of isis:  	1
 will us/nato stop free flow of materiel from turkey into sirya? or will this add to the belief daesh serves western interests there?	1
 lol too funny!!!	1
  makes u wonder who the dealership got the loot from...hum??😕	1
 deck, does that mean the coca cola lorry could soon be seen with missile launchers? or maybe macdonalds all day breakfast truck	1
  he used it for those tough clogs	1
 damn this so bad 2 hell with  that car dealership	1
  because a lot of the wholesale dealers are arabic and the send them back to the middle east.	1
 i don't understand people they need to call the name on the side of the truck and threaten them. is there no common sense	1
 😃😃😃	1
a penis spray-painted on a $2.5 million bugatti was just for a prank video.  	1
“: a penis spray-painted on a $2.5 million bugatti was just for a prank video.  	1
on : bugatti veyron gold digger surprise prank!!  savedyouaclick	1
 boo	1
 spray can: 10usd cleaning: 250 used social media reach: priceless	1
